N,Rho,Verteilung_X,Parameter,Avg_Skewness,Bias_OLS,Bias_ICA,RMSE_OLS,RMSE_ICA
100,0.8,gamma,"{'shape': 4.0, 'scale': 2.0}",0.8817,0.0479,-0.0042,0.0542,2.8782
100,0.8,lognormal,"{'mean': 0.0, 'sigma': 1.0}",2.5171,0.1939,0.004,0.2137,0.35
100,0.8,lognormal,"{'mean': 0.0, 'sigma': 0.75}",1.2739,0.4356,0.0161,0.4503,0.7002
100,0.8,lognormal,"{'mean': 0.0, 'sigma': 0.5}",0.3238,0.802,0.0763,0.8067,7.3841
100,0.8,lognormal,"{'mean': 0.0, 'sigma': 0.25}",0.0074,1.1288,0.8056,1.1295,428.022
100,0.8,t,{'df': 3},-0.0368,0.2572,0.0137,0.2697,1.2501
100,0.8,t,{'df': 4},-0.0429,0.3144,0.0436,0.3244,2.8643
100,0.8,t,{'df': 5},-0.0229,0.3533,0.1092,0.3611,59.3238
100,0.8,t,{'df': 6},-0.0105,0.3792,0.126,0.3861,77.541
200,0.1,beta,"{'a': 0.5, 'b': 0.5}",-0.0004,0.7377,-0.0095,0.759,0.3222
200,0.1,beta,"{'a': 1.0, 'b': 1.0}",-0.0027,1.0489,-0.0338,1.0688,32.7245
200,0.1,beta,"{'a': 2.0, 'b': 2.0}",0.0014,1.6576,0.2071,1.6768,411.702
200,0.1,beta,"{'a': 4.0, 'b': 4.0}",-0.0051,2.6325,1.0798,2.6506,30.6533
200,0.1,chisquare,{'df': 2},1.8848,0.0234,0.0016,0.0457,0.1181
200,0.1,chisquare,{'df': 8},0.9554,0.0064,0.0009,0.0184,0.178
200,0.1,chisquare,{'df': 14},0.7285,0.0044,-0.0036,0.0139,0.5685
200,0.1,chisquare,{'df': 20},0.6095,0.0032,-0.0029,0.0114,1.1626
200,0.1,gamma,"{'shape': 1.0, 'scale': 0.5}",1.782,0.3821,-0.0053,0.4146,0.4636
200,0.1,gamma,"{'shape': 1.0, 'scale': 2.0}",1.8848,0.0234,0.0011,0.0457,0.1149
200,0.1,gamma,"{'shape': 2.0, 'scale': 4.0}",1.3376,0.0031,0.0004,0.0124,0.0676
200,0.1,gamma,"{'shape': 4.0, 'scale': 2.0}",0.9554,0.0064,0.0005,0.0184,0.1864
200,0.1,lognormal,"{'mean': 0.0, 'sigma': 1.0}",3.7354,0.0232,-0.0028,0.043,0.078
200,0.1,lognormal,"{'mean': 0.0, 'sigma': 0.75}",2.5985,0.075,0.0018,0.0993,0.1755
200,0.1,lognormal,"{'mean': 0.0, 'sigma': 0.5}",1.5521,0.2614,-0.0043,0.2883,0.5247
200,0.1,lognormal,"{'mean': 0.0, 'sigma': 0.25}",0.6195,1.2529,0.0809,1.2792,8.8949
200,0.1,t,{'df': 3},0.0311,0.039,0.0057,0.0579,0.8487
200,0.1,t,{'df': 4},-0.0082,0.0531,0.0045,0.0731,2.1648
200,0.1,t,{'df': 5},-0.029,0.0584,0.0086,0.0785,8.3731
200,0.1,t,{'df': 6},-0.0218,0.0641,0.0131,0.0843,9.7878
200,0.2,beta,"{'a': 0.5, 'b': 0.5}",-0.0033,1.2046,-0.0109,1.2123,0.4817
200,0.2,beta,"{'a': 1.0, 'b': 1.0}",-0.0029,1.6077,-0.0331,1.6141,1.336
200,0.2,beta,"{'a': 2.0, 'b': 2.0}",0.0013,2.2168,0.2176,2.2229,7.9357
200,0.2,beta,"{'a': 4.0, 'b': 4.0}",-0.0018,2.9457,1.1938,2.9505,12.1458
200,0.2,chisquare,{'df': 2},1.8632,0.0483,-0.0009,0.0624,0.119
200,0.2,chisquare,{'df': 8},0.9523,0.0127,0.0017,0.0214,0.7467
200,0.2,chisquare,{'df': 14},0.7272,0.0079,-0.0021,0.0154,5302.7334
200,0.2,chisquare,{'df': 20},0.6087,0.0057,-0.0015,0.0123,4.6542
200,0.2,gamma,"{'shape': 1.0, 'scale': 0.5}",1.5117,0.6905,0.0047,0.7089,0.4779
200,0.2,gamma,"{'shape': 1.0, 'scale': 2.0}",1.8632,0.0483,0.0012,0.0624,0.1133
200,0.2,gamma,"{'shape': 2.0, 'scale': 4.0}",1.3356,0.0062,0.0001,0.0136,0.0703
200,0.2,gamma,"{'shape': 4.0, 'scale': 2.0}",0.9523,0.0127,-0.0018,0.0214,0.1753
200,0.2,lognormal,"{'mean': 0.0, 'sigma': 1.0}",3.6991,0.0485,-0.0023,0.0629,0.0525
200,0.2,lognormal,"{'mean': 0.0, 'sigma': 0.75}",2.5152,0.1513,-0.0065,0.168,0.1413
200,0.2,lognormal,"{'mean': 0.0, 'sigma': 0.5}",1.3854,0.4925,-0.0073,0.5095,0.5747
200,0.2,lognormal,"{'mean': 0.0, 'sigma': 0.25}",0.3789,1.831,0.2619,1.8419,18.3333
200,0.2,t,{'df': 3},0.029,0.0763,0.0027,0.0886,1.563
200,0.2,t,{'df': 4},-0.009,0.1036,0.0091,0.1157,25.6997
200,0.2,t,{'df': 5},-0.0287,0.1177,0.012,0.129,30.6359
200,0.2,t,{'df': 6},-0.0218,0.1289,0.0267,0.1401,11.2548
200,0.3,beta,"{'a': 0.5, 'b': 0.5}",-0.0061,1.3878,-0.0096,1.3915,0.2896
200,0.3,beta,"{'a': 1.0, 'b': 1.0}",-0.0023,1.7246,-0.0335,1.7277,1.237
200,0.3,beta,"{'a': 2.0, 'b': 2.0}",0.0008,2.1403,0.2225,2.1431,504.1395
200,0.3,beta,"{'a': 4.0, 'b': 4.0}",-0.0004,2.546,1.412,2.5478,39.633
200,0.3,chisquare,{'df': 2},1.8285,0.0724,-0.0002,0.0827,0.1154
200,0.3,chisquare,{'df': 8},0.9474,0.0189,0.0016,0.0256,0.2009
200,0.3,chisquare,{'df': 14},0.7251,0.0115,0.0013,0.0175,0.5086
200,0.3,chisquare,{'df': 20},0.6075,0.0082,0.0011,0.0136,1.8187
200,0.3,gamma,"{'shape': 1.0, 'scale': 0.5}",1.1919,0.8842,0.0073,0.8964,0.5574
200,0.3,gamma,"{'shape': 1.0, 'scale': 2.0}",1.8285,0.0724,0.0019,0.0827,0.116
200,0.3,gamma,"{'shape': 2.0, 'scale': 4.0}",1.3322,0.0094,0.0002,0.0153,0.0653
200,0.3,gamma,"{'shape': 4.0, 'scale': 2.0}",0.9474,0.0189,0.0019,0.0256,0.2036
200,0.3,lognormal,"{'mean': 0.0, 'sigma': 1.0}",3.6385,0.073,-0.0028,0.0857,0.068
200,0.3,lognormal,"{'mean': 0.0, 'sigma': 0.75}",2.3851,0.2205,-0.0018,0.2351,0.1734
200,0.3,lognormal,"{'mean': 0.0, 'sigma': 0.5}",1.1663,0.66,-0.0042,0.6728,0.9261
200,0.3,lognormal,"{'mean': 0.0, 'sigma': 0.25}",0.2115,1.887,0.4491,1.8919,566.276
200,0.3,t,{'df': 3},0.0272,0.1118,-0.0004,0.1217,0.6702
200,0.3,t,{'df': 4},-0.0093,0.1509,0.0177,0.1599,2.396
200,0.3,t,{'df': 5},-0.0279,0.1728,0.0231,0.1808,9.4525
200,0.3,t,{'df': 6},-0.0215,0.1887,0.0375,0.1965,13.1754
200,0.4,beta,"{'a': 0.5, 'b': 0.5}",-0.0079,1.3975,-0.0084,1.3995,0.287
200,0.4,beta,"{'a': 1.0, 'b': 1.0}",-0.0016,1.6417,-0.0255,1.6435,0.7856
200,0.4,beta,"{'a': 2.0, 'b': 2.0}",0.0002,1.9036,0.2568,1.905,35.1265
200,0.4,beta,"{'a': 4.0, 'b': 4.0}",-0.0001,2.1302,1.2669,2.131,19.3158
200,0.4,chisquare,{'df': 2},1.782,0.0955,0.003,0.1036,0.1123
200,0.4,chisquare,{'df': 8},0.9408,0.025,-0.0047,0.0304,0.1958
200,0.4,chisquare,{'df': 14},0.7223,0.015,0.0004,0.02,1.2943
200,0.4,chisquare,{'df': 20},0.6058,0.0107,0.0014,0.0152,1.322
200,0.4,gamma,"{'shape': 1.0, 'scale': 0.5}",0.9027,0.9771,-0.0088,0.9855,4.2121
200,0.4,gamma,"{'shape': 1.0, 'scale': 2.0}",1.782,0.0955,0.0005,0.1036,0.1146
200,0.4,gamma,"{'shape': 2.0, 'scale': 4.0}",1.3277,0.0125,0.0002,0.0174,0.0676
200,0.4,gamma,"{'shape': 4.0, 'scale': 2.0}",0.9408,0.025,-0.0029,0.0304,0.2231
200,0.4,lognormal,"{'mean': 0.0, 'sigma': 1.0}",3.5561,0.0962,-0.0018,0.1086,0.0629
200,0.4,lognormal,"{'mean': 0.0, 'sigma': 0.75}",2.2213,0.2802,-0.0002,0.2937,0.1484
200,0.4,lognormal,"{'mean': 0.0, 'sigma': 0.5}",0.9439,0.7631,-0.0007,0.7727,1.1148
